user_id,total_tasks,rushed_rate,exact_match_rate,trivial_edit_rate,rushed_cheat_rate,status
74139549,1,1.0,1.0,0.0,1.0,BLOCK
71042435,1,1.0,1.0,0.0,1.0,BLOCK
71042346,1,1.0,1.0,0.0,1.0,BLOCK
71043670,1,1.0,1.0,0.0,1.0,BLOCK
71049866,1,1.0,1.0,0.0,1.0,BLOCK
71041915,1,1.0,1.0,0.0,1.0,BLOCK
71200382,1,1.0,1.0,0.0,1.0,BLOCK
71347528,1,1.0,1.0,0.0,1.0,BLOCK
71347998,1,1.0,1.0,0.0,1.0,BLOCK
71353032,1,1.0,1.0,0.0,1.0,BLOCK
71350385,1,1.0,1.0,0.0,1.0,BLOCK
71350297,1,1.0,1.0,0.0,1.0,BLOCK
71356930,1,1.0,1.0,0.0,1.0,BLOCK
71357474,1,1.0,1.0,0.0,1.0,BLOCK
71349076,1,1.0,1.0,0.0,1.0,BLOCK
71349272,1,1.0,1.0,0.0,1.0,BLOCK
71349295,1,1.0,1.0,0.0,1.0,BLOCK
71421543,1,1.0,1.0,0.0,1.0,BLOCK
71416448,1,1.0,1.0,0.0,1.0,BLOCK
71421792,1,1.0,1.0,0.0,1.0,BLOCK
71410955,1,1.0,1.0,0.0,1.0,BLOCK
71415379,1,1.0,1.0,0.0,1.0,BLOCK
71414957,1,1.0,1.0,0.0,1.0,BLOCK
71414077,1,1.0,1.0,0.0,1.0,BLOCK
71411891,1,1.0,1.0,0.0,1.0,BLOCK
71422791,1,1.0,1.0,0.0,1.0,BLOCK
71416527,1,1.0,1.0,0.0,1.0,BLOCK
71416582,1,1.0,1.0,0.0,1.0,BLOCK
71484493,1,1.0,1.0,0.0,1.0,BLOCK
71477502,1,1.0,1.0,0.0,1.0,BLOCK
71475788,1,1.0,1.0,0.0,1.0,BLOCK
71478218,1,1.0,1.0,0.0,1.0,BLOCK
71479524,1,1.0,1.0,0.0,1.0,BLOCK
71486616,1,1.0,1.0,0.0,1.0,BLOCK
71484032,1,1.0,1.0,0.0,1.0,BLOCK
71478052,1,1.0,1.0,0.0,1.0,BLOCK
71487137,1,1.0,1.0,0.0,1.0,BLOCK
71487171,1,1.0,1.0,0.0,1.0,BLOCK
71486417,1,1.0,1.0,0.0,1.0,BLOCK
71479703,1,1.0,1.0,0.0,1.0,BLOCK
71488503,1,1.0,1.0,0.0,1.0,BLOCK
71479923,1,1.0,1.0,0.0,1.0,BLOCK
71484290,1,1.0,1.0,0.0,1.0,BLOCK
71478597,1,1.0,1.0,0.0,1.0,BLOCK
71482109,1,1.0,1.0,0.0,1.0,BLOCK
71478161,1,1.0,1.0,0.0,1.0,BLOCK
71485925,1,1.0,1.0,0.0,1.0,BLOCK
71484628,1,1.0,1.0,0.0,1.0,BLOCK
71484651,1,1.0,1.0,0.0,1.0,BLOCK
71483826,1,1.0,1.0,0.0,1.0,BLOCK
71539820,1,1.0,1.0,0.0,1.0,BLOCK
71548573,1,1.0,1.0,0.0,1.0,BLOCK
71548601,1,1.0,1.0,0.0,1.0,BLOCK
71549164,1,1.0,1.0,0.0,1.0,BLOCK
71549183,1,1.0,1.0,0.0,1.0,BLOCK
71542787,1,1.0,1.0,0.0,1.0,BLOCK
71546298,1,1.0,1.0,0.0,1.0,BLOCK
